"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"Innovation on a Network_modified model Virus on a Network.nlogo"
"initial-outbreak-size 1 1 50"
"03/08/2024 15:11:01:129 +0300"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-20","20","-20","20"
"[run number]","number-of-nodes","average-node-degree","initial-outbreak-size","gain-resistance-chance","virus-check-frequency","virus-spread-chance","recovery-chance","[step]","count turtles with [infected?]","count links"
"197","50","3","4","20","10","5","5","3000","1","0"
"205","50","3","5","20","10","5","5","2339","0","0"
"208","50","3","5","20","10","5","5","1720","0","0"
"212","50","3","5","20","10","5","5","107","38","49"
"213","50","3","5","20","10","5","5","101","38","57"
"214","50","3","5","20","10","5","5","58","38","58"
"210","50","3","5","20","10","5","5","2393","0","0"
"217","50","3","5","20","10","5","5","101","38","49"
"211","50","3","5","20","10","5","5","1731","0","0"
"219","50","3","5","20","10","5","5","56","38","50"
"216","50","3","5","20","10","5","5","1780","0","0"
"215","50","3","5","20","10","5","5","2416","0","0"
"222","50","3","5","20","10","5","5","63","38","51"
"218","50","3","5","20","10","5","5","2450","0","0"
"224","50","3","5","20","10","5","5","27","38","60"
"221","50","3","5","20","10","5","5","1779","0","0"
"223","50","3","5","20","10","5","5","1371","0","0"
"227","50","3","5","20","10","5","5","65","38","59"
"220","50","3","5","20","10","5","5","3000","2","1"
"228","50","3","5","20","10","5","5","102","38","54"
"229","50","3","5","20","10","5","5","44","38","59"
"231","50","3","5","20","10","5","5","37","38","60"
"232","50","3","5","20","10","5","5","74","38","54"
"225","50","3","5","20","10","5","5","2225","0","0"
"234","50","3","5","20","10","5","5","98","38","60"
"235","50","3","5","20","10","5","5","66","39","55"
"236","50","3","5","20","10","5","5","69","38","57"
"237","50","3","5","20","10","5","5","75","39","57"
"238","50","3","5","20","10","5","5","67","38","52"
"226","50","3","5","20","10","5","5","1860","0","0"
"230","50","3","5","20","10","5","5","2232","0","0"
"233","50","3","5","20","10","5","5","1939","0","0"
"242","50","3","5","20","10","5","5","137","38","55"
"243","50","3","5","20","10","5","5","53","38","54"
"244","50","3","5","20","10","5","5","48","39","57"
"245","50","3","5","20","10","5","5","44","38","57"
"246","50","3","5","20","10","5","5","47","39","63"
"247","50","3","5","20","10","5","5","80","40","59"
"248","50","3","5","20","10","5","5","38","38","58"
"249","50","3","5","20","10","5","5","56","38","63"
"250","50","3","5","20","10","5","5","82","38","46"
"251","50","3","6","20","10","5","5","121","38","57"
"241","50","3","5","20","10","5","5","1725","0","0"
"252","50","3","6","20","10","5","5","57","39","49"
"254","50","3","6","20","10","5","5","48","38","58"
"239","50","3","5","20","10","5","5","2538","0","0"
"240","50","3","5","20","10","5","5","3000","2","1"
"256","50","3","6","20","10","5","5","86","38","63"
"257","50","3","6","20","10","5","5","77","38","63"
"258","50","3","6","20","10","5","5","48","39","52"
"260","50","3","6","20","10","5","5","70","38","56"
"261","50","3","6","20","10","5","5","76","38","50"
"262","50","3","6","20","10","5","5","30","39","59"
"263","50","3","6","20","10","5","5","51","38","62"
"264","50","3","6","20","10","5","5","56","38","57"
"265","50","3","6","20","10","5","5","42","38","55"
"266","50","3","6","20","10","5","5","65","38","55"
"255","50","3","6","20","10","5","5","1575","0","0"
"268","50","3","6","20","10","5","5","35","38","47"
"253","50","3","6","20","10","5","5","2163","0","0"
"270","50","3","6","20","10","5","5","45","38","56"
"259","50","3","6","20","10","5","5","2145","0","0"
"272","50","3","6","20","10","5","5","59","38","54"
"273","50","3","6","20","10","5","5","69","38","51"
"274","50","3","6","20","10","5","5","51","38","59"
"275","50","3","6","20","10","5","5","48","38","63"
"276","50","3","6","20","10","5","5","43","39","61"
"277","50","3","6","20","10","5","5","36","38","55"
"278","50","3","6","20","10","5","5","49","38","59"
"269","50","3","6","20","10","5","5","2247","0","0"
"279","50","3","6","20","10","5","5","46","38","55"
"267","50","3","6","20","10","5","5","2175","0","0"
"280","50","3","6","20","10","5","5","104","38","47"
"282","50","3","6","20","10","5","5","67","38","61"
"284","50","3","6","20","10","5","5","55","39","62"
"283","50","3","6","20","10","5","5","79","38","65"
"286","50","3","6","20","10","5","5","56","38","55"
"285","50","3","6","20","10","5","5","94","38","61"
"287","50","3","6","20","10","5","5","67","38","53"
"289","50","3","6","20","10","5","5","93","38","64"
"290","50","3","6","20","10","5","5","52","38","52"
"271","50","3","6","20","10","5","5","2378","0","0"
"291","50","3","6","20","10","5","5","88","38","47"
"292","50","3","6","20","10","5","5","53","38","52"
"293","50","3","6","20","10","5","5","64","39","54"
"294","50","3","6","20","10","5","5","75","38","59"
"296","50","3","6","20","10","5","5","56","38","57"
"297","50","3","6","20","10","5","5","29","38","57"
"288","50","3","6","20","10","5","5","1384","0","0"
"299","50","3","6","20","10","5","5","50","38","56"
"281","50","3","6","20","10","5","5","2523","0","0"
"301","50","3","7","20","10","5","5","33","39","58"
"302","50","3","7","20","10","5","5","66","38","57"
"303","50","3","7","20","10","5","5","57","38","56"
"304","50","3","7","20","10","5","5","41","38","59"
"298","50","3","6","20","10","5","5","1658","0","0"
"295","50","3","6","20","10","5","5","2606","0","0"
"300","50","3","6","20","10","5","5","2404","0","0"
"308","50","3","7","20","10","5","5","56","39","58"
"309","50","3","7","20","10","5","5","71","38","58"
"310","50","3","7","20","10","5","5","51","38","57"
"311","50","3","7","20","10","5","5","35","38","53"
"312","50","3","7","20","10","5","5","48","38","54"
"313","50","3","7","20","10","5","5","78","38","50"
"305","50","3","7","20","10","5","5","1892","0","0"
"315","50","3","7","20","10","5","5","46","39","58"
"316","50","3","7","20","10","5","5","40","38","56"
"307","50","3","7","20","10","5","5","1914","0","0"
"317","50","3","7","20","10","5","5","31","38","54"
"318","50","3","7","20","10","5","5","63","38","59"
"314","50","3","7","20","10","5","5","57","38","58"
"319","50","3","7","20","10","5","5","57","38","59"
"321","50","3","7","20","10","5","5","87","38","58"
"323","50","3","7","20","10","5","5","33","39","59"
"324","50","3","7","20","10","5","5","84","38","52"
"320","50","3","7","20","10","5","5","230","38","41"
"326","50","3","7","20","10","5","5","46","38","48"
"325","50","3","7","20","10","5","5","100","38","51"
"306","50","3","7","20","10","5","5","2529","0","0"
"327","50","3","7","20","10","5","5","81","38","61"
"330","50","3","7","20","10","5","5","94","38","59"
"331","50","3","7","20","10","5","5","39","39","57"
"332","50","3","7","20","10","5","5","118","38","52"
"333","50","3","7","20","10","5","5","62","39","63"
"334","50","3","7","20","10","5","5","61","38","52"
"335","50","3","7","20","10","5","5","173","38","49"
"336","50","3","7","20","10","5","5","87","39","56"
"337","50","3","7","20","10","5","5","72","38","57"
"322","50","3","7","20","10","5","5","1535","0","0"
"338","50","3","7","20","10","5","5","48","38","62"
"339","50","3","7","20","10","5","5","36","38","52"
"341","50","3","7","20","10","5","5","69","38","59"
"340","50","3","7","20","10","5","5","149","38","59"
"343","50","3","7","20","10","5","5","51","38","54"
"329","50","3","7","20","10","5","5","2225","0","0"
"328","50","3","7","20","10","5","5","2288","0","0"
"346","50","3","7","20","10","5","5","47","38","62"
"345","50","3","7","20","10","5","5","54","38","57"
"347","50","3","7","20","10","5","5","22","38","57"
"349","50","3","7","20","10","5","5","37","38","59"
"348","50","3","7","20","10","5","5","45","38","55"
"351","50","3","8","20","10","5","5","17","38","56"
"350","50","3","7","20","10","5","5","54","38","61"
"352","50","3","8","20","10","5","5","38","40","52"
"342","50","3","7","20","10","5","5","1360","0","0"
"354","50","3","8","20","10","5","5","46","38","51"
"353","50","3","8","20","10","5","5","72","38","56"
"356","50","3","8","20","10","5","5","29","38","57"
"357","50","3","8","20","10","5","5","40","38","56"
"358","50","3","8","20","10","5","5","30","38","59"
"360","50","3","8","20","10","5","5","26","38","54"
"359","50","3","8","20","10","5","5","58","38","49"
"361","50","3","8","20","10","5","5","50","38","60"
"363","50","3","8","20","10","5","5","34","39","56"
"362","50","3","8","20","10","5","5","112","38","49"
"365","50","3","8","20","10","5","5","120","38","59"
"344","50","3","7","20","10","5","5","2500","0","0"
"367","50","3","8","20","10","5","5","41","38","61"
"368","50","3","8","20","10","5","5","25","38","64"
"369","50","3","8","20","10","5","5","38","38","62"
"370","50","3","8","20","10","5","5","38","39","58"
"371","50","3","8","20","10","5","5","44","38","49"
"372","50","3","8","20","10","5","5","42","38","61"
"364","50","3","8","20","10","5","5","1413","0","0"
"373","50","3","8","20","10","5","5","22","38","54"
"374","50","3","8","20","10","5","5","53","38","54"
"375","50","3","8","20","10","5","5","78","38","53"
"376","50","3","8","20","10","5","5","52","38","59"
"378","50","3","8","20","10","5","5","79","38","58"
"379","50","3","8","20","10","5","5","40","39","58"
"355","50","3","8","20","10","5","5","2051","0","0"
"380","50","3","8","20","10","5","5","37","38","53"
"381","50","3","8","20","10","5","5","50","38","45"
"383","50","3","8","20","10","5","5","54","38","56"
"382","50","3","8","20","10","5","5","98","38","52"
"385","50","3","8","20","10","5","5","41","38","56"
"366","50","3","8","20","10","5","5","1830","0","0"
"384","50","3","8","20","10","5","5","1991","0","0"
"388","50","3","8","20","10","5","5","50","38","57"
"387","50","3","8","20","10","5","5","1897","0","0"
"390","50","3","8","20","10","5","5","28","38","46"
"389","50","3","8","20","10","5","5","66","39","55"
"391","50","3","8","20","10","5","5","71","38","52"
"392","50","3","8","20","10","5","5","54","38","54"
"393","50","3","8","20","10","5","5","61","38","64"
"394","50","3","8","20","10","5","5","124","38","50"
"395","50","3","8","20","10","5","5","60","38","59"
"397","50","3","8","20","10","5","5","50","38","57"
"398","50","3","8","20","10","5","5","28","38","51"
"396","50","3","8","20","10","5","5","73","39","56"
"386","50","3","8","20","10","5","5","3000","2","1"
"399","50","3","8","20","10","5","5","33","39","56"
"377","50","3","8","20","10","5","5","2634","0","0"
"402","50","3","9","20","10","5","5","41","38","57"
"403","50","3","9","20","10","5","5","62","38","58"
"401","50","3","9","20","10","5","5","66","38","39"
"405","50","3","9","20","10","5","5","69","38","60"
"407","50","3","9","20","10","5","5","21","38","55"
"406","50","3","9","20","10","5","5","71","38","54"
"408","50","3","9","20","10","5","5","30","38","62"
"409","50","3","9","20","10","5","5","33","38","55"
"410","50","3","9","20","10","5","5","59","38","55"
"404","50","3","9","20","10","5","5","163","38","51"
"411","50","3","9","20","10","5","5","31","38","58"
"414","50","3","9","20","10","5","5","25","41","61"
"413","50","3","9","20","10","5","5","60","38","57"
"415","50","3","9","20","10","5","5","41","39","56"
"416","50","3","9","20","10","5","5","26","38","58"
"417","50","3","9","20","10","5","5","48","38","54"
"418","50","3","9","20","10","5","5","39","38","62"
"419","50","3","9","20","10","5","5","43","39","58"
"421","50","3","9","20","10","5","5","27","39","57"
"422","50","3","9","20","10","5","5","45","38","51"
"423","50","3","9","20","10","5","5","150","38","48"
"424","50","3","9","20","10","5","5","38","38","52"
"425","50","3","9","20","10","5","5","36","38","48"
"426","50","3","9","20","10","5","5","31","38","55"
"427","50","3","9","20","10","5","5","38","38","58"
"428","50","3","9","20","10","5","5","86","38","55"
"429","50","3","9","20","10","5","5","44","40","56"
"400","50","3","8","20","10","5","5","2226","0","0"
"431","50","3","9","20","10","5","5","28","39","50"
"432","50","3","9","20","10","5","5","43","38","53"
"433","50","3","9","20","10","5","5","32","40","60"
"412","50","3","9","20","10","5","5","2347","0","0"
"420","50","3","9","20","10","5","5","2047","0","0"
"435","50","3","9","20","10","5","5","141","38","56"
"437","50","3","9","20","10","5","5","53","38","50"
"436","50","3","9","20","10","5","5","58","38","54"
"434","50","3","9","20","10","5","5","108","38","54"
"439","50","3","9","20","10","5","5","70","38","61"
"440","50","3","9","20","10","5","5","47","38","57"
"441","50","3","9","20","10","5","5","87","38","59"
"442","50","3","9","20","10","5","5","66","38","59"
"443","50","3","9","20","10","5","5","31","38","51"
"445","50","3","9","20","10","5","5","30","38","57"
"430","50","3","9","20","10","5","5","2010","0","0"
"447","50","3","9","20","10","5","5","137","38","53"
"448","50","3","9","20","10","5","5","34","38","59"
"449","50","3","9","20","10","5","5","31","38","53"
"450","50","3","9","20","10","5","5","46","38","55"
"451","50","3","10","20","10","5","5","30","39","59"
"438","50","3","9","20","10","5","5","1831","0","0"
"453","50","3","10","20","10","5","5","40","38","57"
"454","50","3","10","20","10","5","5","41","38","51"
"446","50","3","9","20","10","5","5","1702","0","0"
"455","50","3","10","20","10","5","5","27","39","61"
"457","50","3","10","20","10","5","5","60","39","55"
"458","50","3","10","20","10","5","5","39","38","58"
"459","50","3","10","20","10","5","5","32","38","51"
"460","50","3","10","20","10","5","5","34","38","61"
"461","50","3","10","20","10","5","5","26","39","56"
"444","50","3","9","20","10","5","5","2349","0","0"
"452","50","3","10","20","10","5","5","3000","3","2"
"456","50","3","10","20","10","5","5","2528","0","0"
"464","50","3","10","20","10","5","5","60","38","59"
"465","50","3","10","20","10","5","5","38","38","57"
"466","50","3","10","20","10","5","5","42","38","60"
"467","50","3","10","20","10","5","5","23","38","44"
"468","50","3","10","20","10","5","5","72","38","58"
"469","50","3","10","20","10","5","5","33","38","58"
"470","50","3","10","20","10","5","5","31","39","57"
"471","50","3","10","20","10","5","5","36","38","56"
"473","50","3","10","20","10","5","5","18","38","50"
"474","50","3","10","20","10","5","5","57","38","52"
"475","50","3","10","20","10","5","5","52","38","59"
"462","50","3","10","20","10","5","5","2158","0","0"
"476","50","3","10","20","10","5","5","28","38","57"
"478","50","3","10","20","10","5","5","28","38","54"
"477","50","3","10","20","10","5","5","77","38","56"
"479","50","3","10","20","10","5","5","41","38","54"
"481","50","3","10","20","10","5","5","21","38","52"
"480","50","3","10","20","10","5","5","58","38","54"
"482","50","3","10","20","10","5","5","18","38","59"
"484","50","3","10","20","10","5","5","21","39","51"
"483","50","3","10","20","10","5","5","29","38","60"
"485","50","3","10","20","10","5","5","45","38","61"
"486","50","3","10","20","10","5","5","69","38","55"
"488","50","3","10","20","10","5","5","27","38","63"
"489","50","3","10","20","10","5","5","50","38","55"
"463","50","3","10","20","10","5","5","3000","3","3"
"487","50","3","10","20","10","5","5","59","38","53"
"490","50","3","10","20","10","5","5","29","38","54"
"493","50","3","10","20","10","5","5","27","38","58"
"494","50","3","10","20","10","5","5","44","38","50"
"495","50","3","10","20","10","5","5","26","38","54"
"496","50","3","10","20","10","5","5","32","38","61"
"497","50","3","10","20","10","5","5","34","38","52"
"491","50","3","10","20","10","5","5","95","38","57"
"499","50","3","10","20","10","5","5","29","38","58"
"498","50","3","10","20","10","5","5","40","38","62"
"500","50","3","10","20","10","5","5","39","38","56"
"502","50","3","11","20","10","5","5","27","38","62"
"501","50","3","11","20","10","5","5","34","38","60"
"503","50","3","11","20","10","5","5","67","39","55"
"504","50","3","11","20","10","5","5","84","38","51"
"505","50","3","11","20","10","5","5","39","38","57"
"506","50","3","11","20","10","5","5","31","38","55"
"507","50","3","11","20","10","5","5","31","39","56"
"508","50","3","11","20","10","5","5","49","38","53"
"509","50","3","11","20","10","5","5","19","39","53"
"510","50","3","11","20","10","5","5","63","38","54"
"512","50","3","11","20","10","5","5","31","38","58"
"511","50","3","11","20","10","5","5","35","38","58"
"513","50","3","11","20","10","5","5","30","38","55"
"514","50","3","11","20","10","5","5","28","38","55"
"516","50","3","11","20","10","5","5","29","38","58"
"472","50","3","10","20","10","5","5","2551","0","0"
"515","50","3","11","20","10","5","5","114","38","61"
"517","50","3","11","20","10","5","5","32","38","54"
"520","50","3","11","20","10","5","5","26","38","59"
"519","50","3","11","20","10","5","5","45","38","57"
"518","50","3","11","20","10","5","5","65","38","55"
"521","50","3","11","20","10","5","5","35","38","50"
"522","50","3","11","20","10","5","5","38","39","61"
"523","50","3","11","20","10","5","5","24","38","61"
"524","50","3","11","20","10","5","5","26","38","54"
"525","50","3","11","20","10","5","5","27","38","54"
"527","50","3","11","20","10","5","5","31","39","58"
"528","50","3","11","20","10","5","5","56","38","55"
"529","50","3","11","20","10","5","5","31","38","53"
"531","50","3","11","20","10","5","5","31","38","60"
"530","50","3","11","20","10","5","5","50","38","58"
"532","50","3","11","20","10","5","5","36","39","59"
"533","50","3","11","20","10","5","5","28","38","56"
"535","50","3","11","20","10","5","5","30","38","49"
"536","50","3","11","20","10","5","5","38","38","56"
"537","50","3","11","20","10","5","5","30","38","53"
"538","50","3","11","20","10","5","5","35","38","57"
"539","50","3","11","20","10","5","5","16","38","55"
"492","50","3","10","20","10","5","5","2285","0","0"
"541","50","3","11","20","10","5","5","23","40","56"
"542","50","3","11","20","10","5","5","43","38","55"
"543","50","3","11","20","10","5","5","34","38","62"
"544","50","3","11","20","10","5","5","61","38","47"
"545","50","3","11","20","10","5","5","24","38","63"
"546","50","3","11","20","10","5","5","35","38","56"
"547","50","3","11","20","10","5","5","23","38","53"
"548","50","3","11","20","10","5","5","39","38","54"
"549","50","3","11","20","10","5","5","33","38","63"
"550","50","3","11","20","10","5","5","34","38","55"
"551","50","3","12","20","10","5","5","60","38","46"
"552","50","3","12","20","10","5","5","36","39","63"
"553","50","3","12","20","10","5","5","14","38","50"
"554","50","3","12","20","10","5","5","47","38","51"
"555","50","3","12","20","10","5","5","22","39","58"
"556","50","3","12","20","10","5","5","61","38","52"
"557","50","3","12","20","10","5","5","32","39","59"
"558","50","3","12","20","10","5","5","17","38","58"
"559","50","3","12","20","10","5","5","29","38","54"
"560","50","3","12","20","10","5","5","51","38","55"
